Q_INCA,p_druck_bereinigt_1,p_druck_bereinigt_2,p_druck_bereinigt_3,p_druck_bereinigt_4,p_druck_bereinigt_5,p_druck_bereinigt_6,p_druck_bereinigt_7,p_druck_bereinigt_8,p_druck_bereinigt_9,p_druck_bereinigt_10,p_druck_bereinigt_11,p_druck_bereinigt_12,p_druck_bereinigt_13,p_druck_bereinigt_14,p_druck_bereinigt_15,p_druck_bereinigt_16,p_druck_bereinigt_17,p_druck_bereinigt_18,p_druck_bereinigt_19,p_druck_bereinigt_20,nEng
125.69,-17117.0,-16410.0,-15989.0,-16704.0,-15617.0,-15951.0,-16169.0,-10116.0,-6268.3,-5013.0,-1278.2,0.0,-4136.9,-14363.0,-20996.0,-25085.0,-27686.0,-24442.0,-20824.0,-19074.0,1847.0
64.0972739667645,-10641.875,-10471.375,-10689.25,-10058.375,-10839.625,-10231.625,-10542.875,-8496.75,-4468.625,-2595.75,0.0,-4709.625,-14091.0,-16247.375,-17929.625,-18599.0,-17263.0,-18140.875,-13380.75,-12558.5,1426.95833333333
192.791338904319,-22045.375,-19901.75,-22198.813,-20066.5,-21095.563,-20709.0,-12511.188,-9081.8125,-1693.75,0.0,-3546.875,-16325.563,-33956.375,-37899.875,-41629.562999999995,-41050.125,-33934.312999999995,-32225.0,-23972.625,-22623.25,1373.5
213.81,-24836.0,-24940.0,-24489.0,-24885.0,-24722.0,-19638.0,-12448.0,-5502.8,-1634.7,0.0,-8986.4,-34309.0,-45584.0,-47583.0,-47509.0,-44248.0,-38170.0,-30860.0,-27197.0,-25324.0,933.5
34.119,-4276.8,-5766.1,-4704.5,-4805.6,-5298.1,-4493.0,-5198.4,-4473.8,-3235.4,-2333.1,0.0,-4933.0,-9083.9,-9693.3,-11162.0,-9655.1,-11179.0,-10294.0,-7584.1,-7293.8,1366.7
58.34,-6077.4,-5838.8,-5723.8,-5965.4,-5627.8,-5912.8,-5795.4,-3279.9,0.0,-481.63,-10772.0,-13077.0,-13274.0,-14313.0,-13018.0,-13759.0,-13213.0,-11275.0,-8689.1,-6196.0,1006.8
70.77394892490321,-10735.375,-11500.5,-10988.0,-10875.75,-11232.625,-10819.0,-11013.875,-6582.375,-2141.875,0.0,-1553.0,-17196.5,-21034.25,-21943.125,-23236.25,-21874.375,-22743.75,-18479.125,-14206.625,-12113.5,1046.875
220.361939637895,-23162.875,-22959.313,-23146.625,-22826.0,-23123.25,-18684.5,-12002.438,-5331.6875,-1010.125,0.0,-2961.1875,-26656.688,-44749.0,-48481.437999999995,-48414.687999999995,-43307.875,-35330.625,-29367.188,-24946.0,-23667.625,906.74
25.517,-5598.9,-2468.9,-5098.8,-3626.0,-3659.3,-4634.4,-2902.3,-4380.6,-2146.3,-856.75,0.0,-757.38,-6974.3,-5712.0,-6644.3,-7935.1,-5614.0,-7882.0,-5746.3,-4314.9,1500.1
31.7134315758138,-5500.75,-5623.25,-5585.75,-5348.625,-5429.25,-5602.75,-5579.0,-4760.25,-1768.125,0.0,-4463.75,-9200.625,-10510.75,-10428.75,-10033.125,-10600.0,-10464.75,-9842.625,-7602.125,-5987.5,880.0
